code,code_two,latin_name,type,ever_dec,lat,long,age,dbh,canopy_pos,chl,lma,ldcm,A,Dark_resp,E,g,comments
EE,Native,Euonymous europaeus,Native,Deciduous,55.963383,-3.2092,15,5.3,L,41.5,72.3782,0.3176,11.52,0.02,4.33,83.26,
EE,Native,Euonymous europaeus,Native,Deciduous,55.963383,-3.2092,15,5.3,L,41.6,65.2145,0.4123,13.05,-0.4,4.42,70.88,
FE,Native,Fraxinus excelsior,Native,Deciduous,55.96665,-3.2111,32,68,U,44.3,92.4484,0.4148,7.53,-0.26,7.76,60.03,
FE,Native,Fraxinus excelsior,Native,Deciduous,55.96665,-3.2111,32,68,U,42.6,94.8508,0.3227,7.39,-0.38,6.95,68.58,
FE,Native,Fraxinus excelsior,Native,Deciduous,55.96665,-3.2111,32,68,U,42.9,88.1474,0.4336,8.04,-0.33,5.85,71,
FE,Native,Fraxinus excelsior,Native,Deciduous,55.96665,-3.2111,32,68,L,44.5,70.4075,0.3878,8.03,-0.87,4.15,76.96,
FE,Native,Fraxinus excelsior,Native,Deciduous,55.96665,-3.2111,32,68,L,43.1,68.041,0.4211,9.5,-0.53,4.96,95.27,
FE,Native,Fraxinus excelsior,Native,Deciduous,55.96665,-3.2111,32,68,L,44.9,73.7011,0.3888,7.46,-0.41,4.8,82.47,
FS,Native,Fagus sylvatica,Native,Deciduous,55.96455,-3.209333,55,95.5,U,33.6,82.48,0.4838,12.37,-0.1,5.12,72.14,
FS,Native,Fagus sylvatica,Native,Deciduous,55.96455,-3.209333,55,95.5,U,34.1,81.5154,0.3801,8.69,0.28,4.45,87.25,
FS,Native,Fagus sylvatica,Native,Deciduous,55.96455,-3.209333,55,95.5,U,28.5,84.1884,0.4523,10.07,-0.18,5.89,70.14,
FS,Native,Fagus sylvatica,Native,Deciduous,55.96455,-3.209333,55,95.5,L,42.8,45.8939,0.4466,13.34,-0.19,5.4,70.52,
FS,Native,Fagus sylvatica,Native,Deciduous,55.96455,-3.209333,55,95.5,L,43.6,57.6247,0.3588,10.12,0.03,4.82,56.5,
FS,Native,Fagus sylvatica,Native,Deciduous,55.96455,-3.209333,55,95.5,L,44.1,59.0661,0.4478,8.33,0.13,4.46,68.36,
IA,Native,Ilex aquifolium,Native,Evergreen,55.965017,-3.210417,55,3.9,U,71.3,146.8973,0.3537,7.24,-0.07,4.47,84.33,missing_ea
IA,Native,Ilex aquifolium,Native,Evergreen,55.965017,-3.210417,55,3.9,U,65.2,151.7445,0.2769,6.59,0.09,3.95,57.79,
IA,Native,Ilex aquifolium,Native,Evergreen,55.965017,-3.210417,55,3.9,U,73.1,134.2385,0.3479,8.2,-0.14,5,85.17,
IA,Native,Ilex aquifolium,Native,Evergreen,55.965017,-3.210417,55,3.9,L,66.1,125.7935,0.3809,5.98,-0.19,3.27,80.03,
IA,Native,Ilex aquifolium,Native,Evergreen,55.965017,-3.210417,55,3.9,L,67.5,118.9255,0.42,6.13,-0.38,4.06,71.98,
IA,Native,Ilex aquifolium,Native,Evergreen,55.965017,-3.210417,55,3.9,L,65.5,119.4062,0.4558,6.34,0.05,4.28,88.35,
PNB,Native,Populus nigra Betulifolia,Native,Deciduous,55.965217,-3.206917,54,24.5,U,39.6,51.3311,0.2789,12.62,0.84,6.29,71.36,
PNB,Native,Populus nigra Betulifolia,Native,Deciduous,55.965217,-3.206917,54,24.5,U,34.4,52.6555,0.3499,7.81,0.59,7.18,92.78,
